sphere_id,x,y,z,r,object_type,object_id,branch_id,parent_sphere_id
383,29.8577,29.9405,26.2093,0.919325,0,45,0,316
384,34.953,30.1394,26.2455,1.06944,0,46,0,317
385,39.9441,30.1748,26.2755,1.02078,0,47,0,318
386,4.90095,34.815,26.257,0.999291,0,48,0,319
387,9.8553,34.8773,26.224,0.90695,0,49,0,320
388,14.9669,35.0681,26.2712,0.99724,0,50,0,321
389,19.8263,35.204,26.2333,0.925647,0,51,0,322
390,25.1132,35.1557,26.2425,0.995363,0,52,0,323
391,29.8697,35.104,26.2313,1.03648,0,53,0,324
392,34.8483,34.9569,26.261,0.980929,0,54,0,325
393,40.0653,34.8287,26.268,1.01348,0,55,0,326
394,5.12324,39.9027,26.2576,0.986118,0,56,0,327
395,9.9742,39.9699,26.2959,1.0376,0,57,0,328
396,14.9231,40.1172,26.3139,1.03349,0,58,0,329
397,20.1918,39.9032,26.2319,0.974175,0,59,0,330
398,24.899,39.8927,26.2359,1.01975,0,60,0,331
399,29.7974,39.8907,26.2723,0.915583,0,61,0,332
400,35.013,39.836,26.2274,0.990884,0,62,0,333
401,39.7581,40.1147,26.2711,0.905887,0,63,0,334
402,4.84681,5.00523,26.5735,1.05663,0,0,0,335
403,10.0227,4.97661,26.433,1.01484,0,1,0,336
404,15.0221,5.08728,26.5336,1.0022,0,2,0,337
405,20.0123,5.22342,26.5048,0.930303,0,3,0,338
406,25.0031,5.37176,26.5406,1.01269,0,4,0,339
407,29.8345,5.10183,26.5126,1.05477,0,5,0,340
408,35.038,5.05853,26.4956,0.95506,0,6,0,341
409,40.0777,4.78555,26.4571,1.02713,0,7,0,342
410,4.6949,10.1201,26.4523,1.10766,0,8,0,343
411,9.95039,9.99654,26.5573,0.948958,0,9,0,344
412,15.1941,9.86087,26.5175,1.00738,0,10,0,345
413,20.0741,9.86859,26.5374,0.933226,0,11,0,346
414,24.9084,10.1592,26.557,1.04377,0,12,0,347
415,30.0315,9.78496,26.4983,1.01531,0,13,0,348
416,35.0816,10.0304,26.5115,0.979769,0,14,0,349
417,39.9957,9.99045,26.5509,1.00016,0,15,0,350
418,4.90457,15.0195,26.5028,0.922049,0,16,0,351
419,9.83918,15.1647,26.5278,1.01023,0,17,0,352
420,15.0482,15.051,26.519,0.914214,0,18,0,353
421,19.9044,14.923,26.5339,1.00045,0,19,0,354
422,25.0459,14.8729,26.5219,0.978238,0,20,0,355
423,30.0591,14.6931,26.5126,1.02928,0,21,0,356
424,34.8821,15.1355,26.5747,0.987183,0,22,0,357
425,39.8079,14.8485,26.5167,1.01575,0,23,0,358
426,4.65568,20.05,26.4307,0.921389,0,24,0,359
427,9.86787,20.0603,26.5449,1.03782,0,25,0,360
428,14.8191,20,26.5566,0.948856,0,26,0,361
429,20.1521,19.7784,26.4923,0.983234,0,27,0,362
430,25.1362,20.0335,26.5553,1.02559,0,28,0,363
