sphere_id,x,y,z,r,object_type,object_id,branch_id,parent_sphere_id
457,9.98573,10.0048,25.7865,0.446284,0,9,0,393
458,15.1205,9.90056,26.0762,0.612177,0,10,0,394
459,20.146,9.66765,28.2016,1.59284,0,11,0,395
460,24.788,10.2686,28.3138,1.79112,0,12,0,396
461,30.0367,9.74057,26.5645,0.903494,0,13,0,397
462,35.0494,10.0121,25.834,0.45814,0,14,0,398
463,39.9691,10.0012,26.7399,0.935703,0,15,0,399
464,4.79861,15.0235,27.2971,1.22555,0,16,0,400
465,9.94096,15.0807,25.6462,0.363357,0,17,0,401
466,15.0522,15.0633,26.4013,0.722156,0,18,0,402
467,19.9218,14.8994,26.1848,0.670689,0,19,0,403
468,25.0561,14.7862,27.9238,1.7078,0,20,0,404
469,30.1408,14.521,27.2821,1.3703,0,21,0,405
470,34.8396,15.1976,26.8462,1.03499,0,22,0,406
471,39.9364,14.9312,25.5228,0.275985,0,23,0,407
472,4.58449,20.0646,26.5081,0.950328,0,24,0,408
473,9.94223,20.0293,26.0174,0.55431,0,25,0,409
474,14.8012,19.9696,26.858,1.0779,0,26,0,410
475,20.4724,19.3797,29.2602,2.56565,0,27,0,411
476,25.1327,20.0489,26.3786,0.749831,0,28,0,412
477,30.0006,20.0366,25.3011,0.163136,0,29,0,413
478,34.8204,20.0493,27.2329,1.28994,0,30,0,414
479,39.7196,19.9785,26.0165,0.621855,0,31,0,415
